Year,temp_mean,temp_std,co2_mean,co2_std
1521,-0.58737524,0.171362454,281.2,0.873063472
1522,-0.612279846,0.176089798,281.21,0.879405545
1523,-0.63137428,0.179437138,281.23,0.885503868
1524,-0.640309597,0.180873086,281.24,0.890013011
1525,-0.641006718,0.181493874,281.26,0.895101629
1526,-0.639398273,0.18279213,281.27,0.899539565
1527,-0.640560077,0.185820104,281.29,0.905389825
1528,-0.64550691,0.191548406,281.31,0.908973661
1529,-0.649533397,0.198177602,281.32,0.912994218
1530,-0.647075432,0.199884983,281.33,0.917006824
1531,-0.637934549,0.194053328,281.34,0.920242886
1532,-0.62079309,0.182544082,281.35,0.920377299
1533,-0.594805758,0.167462311,281.36,0.923471242
